îNåéì˙,ìåãû,ë—çL
2016/9/7,27.1,23.3
2016/9/8,26.4,16.2
2016/9/9,27,15.8
2016/9/10,26.6,19.7
2016/9/11,23.2,17.3
2016/9/12,24.7,16.4
2016/9/13,22.6,16.3
2016/9/14,23.1,15.8
2016/9/15,24.1,19.6
2016/9/16,22.9,18.6
2016/9/17,25.3,16.5
2016/9/18,24.6,11.8
2016/9/19,21.3,15.4
2016/9/20,19.1,13.9
2016/9/21,20.1,14.6
2016/9/22,19.4,14.7
2016/9/23,20.8,15
2016/9/24,21.8,17.3
2016/9/25,23.6,18.7
2016/9/26,25.4,19.5
2016/9/27,25.6,15.9
2016/9/28,26.5,16.9
2016/9/29,24.6,13.6
2016/9/30,21.4,13.5
2016/10/1,19.7,15.8
2016/10/2,23.1,15.8
2016/10/3,22.7,14.5
2016/10/4,24.9,15
2016/10/5,24,11.3
2016/10/6,26,12.2
2016/10/7,21.4,9.3
2016/10/8,21.2,9
2016/10/9,22.3,11.6
2016/10/10,18.4,9.1
2016/10/11,17.6,9.4
2016/10/12,17.9,9.3
2016/10/13,16.5,9
2016/10/14,15.6,8.1
2016/10/15,16.7,8.7
2016/10/16,17.4,13
2016/10/17,17.5,11.8
2016/10/18,20.9,13.6
2016/10/19,20.8,9.9
2016/10/20,21.9,6.7
2016/10/21,18.2,5.4
2016/10/22,16.7,5.3
2016/10/23,18.1,6.2
2016/10/24,14.9,4.5
2016/10/25,14,7.6
2016/10/26,19.1,10.1
2016/10/27,19,6.2
2016/10/28,12.2,7.3
2016/10/29,15.5,3.6
2016/10/30,11.9,3.3
2016/10/31,14.3,1.8
2016/11/1,13.4,2
2016/11/2,10.9,1.8
2016/11/3,12.9,1
2016/11/4,14,1.8
2016/11/5,14.6,-0.5
2016/11/6,14.8,1.6
2016/11/7,11,-0.4
2016/11/8,9.9,0.1
2016/11/9,10.4,1.3
2016/11/10,9.6,1.1
2016/11/11,9,-0.1
2016/11/12,13.6,1.3
2016/11/13,13.6,2.5
2016/11/14,13.7,3
2016/11/15,15.3,3.6
2016/11/16,12.5,1.5
2016/11/17,12.6,0
2016/11/18,11.3,3.2
2016/11/19,9.8,6.4
2016/11/20,13.6,5
2016/11/21,12.6,1.1
2016/11/22,14,1.3
2016/11/23,11.4,-3.8
2016/11/24,2.8,-5.6
2016/11/25,5.6,-4.6
2016/11/26,8.3,-1.9
2016/11/27,10.6,-0.7
2016/11/28,11.1,0.7
2016/11/29,10.5,0
2016/11/30,8.8,-1.8
2016/12/1,10,-0.3
2016/12/2,11.5,1.5
2016/12/3,10.8,1.9
2016/12/4,11.6,0.4
2016/12/5,12.7,2
2016/12/6,10.8,-1.1
2016/12/7,7.5,-5.6
2016/12/8,8.6,-7.3
2016/12/9,11.1,-4.2
2016/12/10,8.5,-4.2
2016/12/11,6.8,-5.9
2016/12/12,7,-6.9
2016/12/13,9.4,-8.1
2016/12/14,8.1,-5.6
2016/12/15,6.2,-7.6
2016/12/16,4.8,-10.5
2016/12/17,6.7,-8.7
2016/12/18,8.2,-0.3
2016/12/19,10,-0.5
2016/12/20,9.6,-5.3
2016/12/21,10.5,-2.7
2016/12/22,14.6,-3.4
2016/12/23,14,-1.7
2016/12/24,8.6,-7.1
2016/12/25,6.6,-10.1
2016/12/26,6.9,-6.1
2016/12/27,11.1,-3.5
2016/12/28,6,-9.4
2016/12/29,4.3,-9.1
2016/12/30,6,-7.3
2016/12/31,6.3,-5.6
2017/1/1,7.4,-11.6
2017/1/2,7.2,-8.3
2017/1/3,8,-8.7
2017/1/4,8.5,-6
2017/1/5,6.7,-5.6
2017/1/6,4.5,-11.4
2017/1/7,4.1,-7.7
2017/1/8,3.9,-8.1
2017/1/9,7.2,-6.4
2017/1/10,8.1,-4.3
2017/1/11,6.9,-9.2
2017/1/12,6,-12.2
2017/1/13,6.2,-15.4
2017/1/14,2.4,-15.2
2017/1/15,0.7,-13
2017/1/16,3.2,-2.4
2017/1/17,5.4,-6
2017/1/18,5.8,-6.5
2017/1/19,6.4,-7.3
2017/1/20,3,-11.5
2017/1/21,5.9,-8.3
2017/1/22,6,-9.6
2017/1/23,4,-5.7
2017/1/24,2.5,-13.1
2017/1/25,3.9,-14.2
2017/1/26,4.6,-11.5
2017/1/27,8.8,-5.9
2017/1/28,8.4,-4.1
2017/1/29,8,-3.1
2017/1/30,11.2,-4.9
2017/1/31,5.9,-8
2017/2/1,6,-8
2017/2/2,4.5,-7.8
2017/2/3,7.4,-11.3
2017/2/4,8.2,-5.3
2017/2/5,7.2,-5.7
2017/2/6,8.7,-2.6
2017/2/7,5.6,-5.2
2017/2/8,6.3,-4.8
2017/2/9,2.4,-5.5
2017/2/10,4.3,-6
2017/2/11,4.1,-4.5
2017/2/12,5,-0.2
2017/2/13,6.3,-0.7
2017/2/14,6.1,-2
2017/2/15,6.5,-3.6
2017/2/16,7.3,-3.3
2017/2/17,13.2,0.6
2017/2/18,8.1,-5.3
2017/2/19,6.2,-4.8
2017/2/20,9.9,-7.4
2017/2/21,6.1,-5.7
2017/2/22,7,-3.2
2017/2/23,12.4,-4.5
2017/2/24,7.4,-0.8
2017/2/25,7.5,-3.9
2017/2/26,8.6,-3.6
2017/2/27,6.2,-8.6
2017/2/28,5.5,-7.1
